iter	Passed	Remaining
429	1491	1976
430	1492	1970
431	1494	1964
432	1496	1959
433	1497	1953
434	1500	1948
435	1502	1943
436	1503	1937
437	1505	1931
438	1507	1926
439	1508	1920
440	1511	1915
441	1514	1911
442	1515	1906
443	1517	1900
444	1518	1894
445	1520	1888
446	1522	1883
447	1523	1877
448	1525	1871
449	1527	1867
450	1529	1862
451	1531	1856
452	1533	1851
453	1535	1846
454	1537	1841
455	1539	1836
456	1543	1834
457	1546	1829
458	1548	1825
459	1550	1819
460	1552	1814
461	1554	1810
462	1557	1806
463	1560	1802
464	1563	1798
465	1566	1794
466	1568	1789
467	1571	1786
468	1573	1781
469	1575	1776
470	1577	1772
471	1579	1767
472	1583	1764
473	1586	1760
474	1588	1756
475	1591	1752
476	1593	1747
477	1596	1743
478	1599	1739
479	1610	1745
480	1615	1742
481	1618	1739
482	1621	1735
483	1624	1731
484	1628	1729
485	1631	1725
486	1634	1721
487	1636	1717
488	1638	1712
489	1641	1708
490	1645	1705
491	1647	1700
492	1649	1696
493	1651	1692
494	1654	1687
495	1658	1685
496	1660	1680
497	1662	1676
498	1664	1671
499	1666	1666
500	1669	1662
501	1672	1658
502	1673	1653
503	1675	1649
504	1677	1644
505	1680	1640
506	1681	1635
507	1684	1631
508	1686	1627
509	1688	1622
510	1689	1617
511	1691	1612
512	1693	1607
513	1695	1603
514	1698	1599
515	1701	1595
516	1703	1591
517	1705	1587
518	1707	1582
519	1709	1577
520	1711	1573
521	1714	1570
522	1716	1565
523	1718	1561
524	1720	1556
525	1722	1552
526	1724	1547
527	1728	1545
528	1730	1540
529	1732	1536
530	1733	1531
531	1735	1527
532	1737	1522
533	1740	1518
534	1742	1514
535	1744	1510
536	1746	1505
537	1747	1501
538	1749	1496
539	1750	1491
540	1752	1486
541	1757	1485
542	1759	1480
543	1761	1476
544	1762	1471
545	1764	1467
546	1766	1462
547	1769	1459
548	1771	1454
549	1772	1450
550	1774	1446
551	1776	1442
552	1779	1438
553	1780	1433
554	1784	1430
555	1786	1426
556	1787	1421
557	1789	1417
558	1791	1413
559	1793	1408
560	1794	1404
561	1799	1402
562	1802	1399
563	1803	1394
564	1805	1389
565	1807	1385
566	1808	1381
567	1812	1378
568	1814	1374
569	1817	1370
570	1819	1366
571	1821	1362
572	1822	1358
573	1825	1355
574	1827	1351
575	1829	1346
576	1831	1342
577	1832	1338
578	1834	1334
579	1836	1329
580	1838	1325
581	1841	1322
582	1843	1318
583	1846	1315
584	1848	1311
585	1850	1307
586	1852	1303
587	1855	1300
588	1857	1296
589	1859	1292
590	1861	1288
591	1863	1284
592	1865	1280
593	1869	1278
594	1871	1274
595	1873	1270
596	1875	1266
597	1878	1262
598	1881	1259
599	1890	1260
600	1893	1257
601	1899	1255
602	1901	1251
603	1903	1247
604	1906	1244
605	1909	1241
606	1914	1239
607	1915	1235
608	1917	1231
609	1919	1227
610	1921	1223
611	1926	1221
612	1929	1218
613	1932	1214
614	1934	1210
615	1936	1207
616	1939	1203
617	1942	1200
618	1944	1196
619	1946	1193
620	1949	1189
621	1951	1185
622	1954	1182
623	1957	1179
624	1960	1176
625	1962	1172
626	1965	1169
627	1970	1167
628	1973	1163
629	1975	1160
630	1977	1156
631	1980	1152
632	1985	1151
633	1988	1147
634	1991	1144
635	1994	1141
636	1999	1139
637	2002	1136
638	2005	1132
639	2007	1129
640	2010	1125
641	2014	1123
642	2016	1119
643	2019	1116
644	2023	1113
645	2027	1110
646	2029	1107
647	2030	1103
648	2032	1099
649	2034	1095
650	2036	1091
651	2039	1088
652	2042	1085
653	2043	1081
654	2045	1077
655	2047	1073
656	2048	1069
657	2050	1065
658	2051	1061
659	2055	1059
660	2057	1055
661	2059	1051
662	2061	1047
663	2063	1044
664	2065	1040
665	2068	1037
666	2070	1033
667	2072	1029
668	2074	1026
669	2076	1022
670	2078	1019
671	2084	1017
672	2086	1013
673	2087	1009
674	2089	1005
675	2090	1002
676	2092	998
677	2094	994
678	2100	992
679	2102	989
680	2104	985
681	2106	982
682	2108	978
683	2109	974
684	2113	971
685	2115	968
686	2117	964
687	2119	961
688	2121	957
689	2123	954
690	2128	951
691	2130	948
692	2131	944
693	2133	940
694	2135	937
695	2137	933
696	2141	931
697	2143	927
698	2146	924
699	2148	920
700	2149	916
701	2151	913
702	2154	910
703	2156	906
704	2158	903
705	2162	900
706	2164	896
707	2166	893
708	2171	891
709	2173	887
710	2175	884
711	2176	880
712	2178	877
713	2180	873
714	2185	871
715	2187	867
716	2189	864
717	2190	860
718	2192	856
719	2194	853
720	2198	850
721	2200	847
722	2202	843
723	2205	840
724	2207	837
725	2209	833
726	2212	830
727	2214	827
728	2216	823
729	2217	820
730	2219	816
731	2220	813
732	2222	809
733	2227	807
734	2229	803
735	2231	800
736	2233	796
737	2234	793
738	2236	789
739	2237	786
740	2240	783
741	2242	779
742	2244	776
743	2246	772
744	2248	769
745	2251	766
746	2256	764
747	2258	760
748	2265	759
749	2271	757
750	2275	754
751	2278	751
752	2280	748
753	2282	744
754	2285	741
755	2287	738
756	2289	734
757	2291	731
758	2294	728
759	2298	725
760	2302	723
761	2304	719
762	2307	716
763	2309	713
764	2313	710
765	2315	707
766	2318	704
